Time,Mean_Error,a_x,a_y,a_yaw,a_v_cmd,a_w_cmd,a_err_x,a_err_y,b_x,b_y,b_yaw,b_v_cmd,b_w_cmd,b_err_x,b_err_y,c_x,c_y,c_yaw,c_v_cmd,c_w_cmd,c_err_x,c_err_y,d_x,d_y,d_yaw,d_v_cmd,d_w_cmd,d_err_x,d_err_y,e_x,e_y,e_yaw,e_v_cmd,e_w_cmd,e_err_x,e_err_y
1.40007,0.35332,2.51067,-1.21127,2.86815,0.00801007,-0.413689,-0.128226,0.0212968,1.89423,-0.418535,1.61448,0.24,-0.489111,-0.468802,0.0309711,2.63934,0.745968,2.61495,0.24,-0.310431,0.032114,0.0468513,1.92896,2.21508,-2.80667,0,0,-0.704308,0.26793,2.83524,2.95324,2.56385,0.24,-0.274844,0.236022,0.267108
1.45012,0.351458,2.51107,-1.21313,2.86105,0.0111364,-0.39973,-0.122878,0.0216219,1.88891,-0.413331,1.59341,0.24,-0.454866,-0.463544,0.0382808,2.63233,0.746309,2.60229,0.24,-0.292708,0.0292396,0.0520583,1.92863,2.21516,-2.80595,0,0,-0.7003,0.268041,2.82856,2.95494,2.55786,0.24,-0.263137,0.232562,0.271975
1.50006,0.34976,2.5108,-1.21865,2.83941,0.0157693,-0.379419,-0.11761,0.0221616,1.88082,-0.401147,1.56192,0.24,-0.419383,-0.45812,0.0478592,2.61793,0.749389,2.58366,0.24,-0.27665,0.0234961,0.0585009,1.9288,2.21507,-2.80586,0,0,-0.696211,0.267961,2.81301,2.95832,2.53825,0.24,-0.245894,0.227169,0.278586
1.55006,0.348278,2.51132,-1.22263,2.82427,0.0203848,-0.359517,-0.111379,0.0226639,1.87635,-0.392923,1.54358,0.24,-0.394524,-0.453154,0.0586547,2.60857,0.751506,2.57021,0.24,-0.259387,0.0185539,0.0654327,1.92896,2.21512,-2.80627,0,0,-0.692002,0.268091,2.80398,2.96035,2.52744,0.24,-0.234688,0.221124,0.284922
1.60007,0.346898,2.51113,-1.22763,2.80463,0.0244003,-0.340984,-0.105733,0.0234291,1.87087,-0.382242,1.52153,0.24,-0.372324,-0.448249,0.0670769,2.59679,0.754809,2.5558,0.24,-0.248232,0.0147564,0.0709222,1.92875,2.21504,-2.80605,0,0,-0.688174,0.267912,2.79188,2.96357,2.51413,0.24,-0.227184,0.217086,0.289717
1.65006,0.346107,2.51089,-1.23155,2.78948,0.0279005,-0.323673,-0.100379,0.0236042,1.86726,-0.373365,1.50362,0.24,-0.346517,-0.442276,0.077647,2.58732,0.757857,2.54465,0.24,-0.232433,0.00953187,0.0781802,1.92899,2.21502,-2.80627,0,0,-0.68397,0.267992,2.78234,2.96604,2.50095,0.24,-0.210244,0.212152,0.297038
1.70013,0.345109,2.5107,-1.23598,2.77062,0.0312503,-0.304929,-0.0949962,0.0242291,1.86292,-0.361903,1.48279,0.24,-0.325532,-0.43664,0.0861747,2.57557,0.762449,2.53565,0.24,-0.222697,0.00540046,0.0837082,1.92858,2.21518,-2.80544,0,0,-0.680309,0.268189,2.77152,2.97099,2.49388,0.24,-0.203916,0.208356,0.302486
1.75006,0.344754,2.5099,-1.24034,2.75343,0.0345726,-0.285985,-0.0895324,0.0248986,1.86007,-0.349838,1.46552,0.24,-0.303104,-0.430539,0.0977461,2.56449,0.766163,2.51924,0.24,-0.209669,7.06401e-05,0.091262,1.92765,2.21565,-2.80275,0,0,-0.67609,0.268001,2.76008,2.97586,2.48561,0.24,-0.191057,0.203431,0.31003
1.80011,0.344047,2.50832,-1.24347,2.73878,0.0370002,-0.272103,-0.0850061,0.0255054,1.85754,-0.340395,1.44977,0.24,-0.284576,-0.42414,0.107191,2.55573,0.769282,2.5062,0.24,-0.197864,-0.00332516,0.0971345,1.9287,2.21518,-2.80574,0,0,-0.672127,0.268255,2.74994,2.98006,2.47744,0.24,-0.186073,0.199482,0.31534
1.85001,0.344514,2.50675,-1.24666,2.7256,0.038816,-0.262745,-0.0815482,0.0261267,1.85516,-0.328918,1.43337,0.24,-0.263872,-0.418368,0.117695,2.544,0.774389,2.49662,0.24,-0.182491,-0.00752387,0.104924,1.92872,2.21521,-2.80646,0,0,-0.668498,0.268275,2.74007,2.98482,2.4649,0.24,-0.175815,0.194496,0.322744
1.90008,0.343977,2.50528,-1.24902,2.713,0.0407688,-0.24969,-0.0772408,0.0270187,1.85425,-0.320425,1.42088,0.24,-0.246005,-0.410891,0.125591,2.53468,0.778284,2.48562,0.24,-0.172293,-0.0108852,0.111507,1.92897,2.21507,-2.80666,0,0,-0.664334,0.267981,2.73082,2.98925,2.45903,0.24,-0.171104,0.191049,0.328501
1.95012,0.344521,2.50363,-1.25128,2.70311,0.0433032,-0.230341,-0.0736632,0.027781,1.85333,-0.310863,1.40992,0.24,-0.22672,-0.404282,0.136952,2.52582,0.783551,2.48078,0.24,-0.162191,-0.0167044,0.119366,1.92895,2.21508,-2.8065,0,0,-0.660033,0.268116,2.72158,2.99272,2.44716,0.24,-0.159547,0.185379,0.336392
2.00012,0.344763,2.50197,-1.25421,2.68934,0.0452423,-0.214734,-0.0694138,0.0286309,1.85171,-0.297798,1.39762,0.24,-0.210995,-0.398659,0.146821,2.51436,0.789331,2.47077,0.24,-0.153406,-0.0207094,0.125724,1.929,2.21524,-2.80584,0,0,-0.655865,0.268066,2.71106,2.99786,2.43788,0.24,-0.150359,0.18158,0.342823
2.05008,0.34587,2.5,-1.25728,2.67407,0.0473056,-0.197969,-0.065199,0.0295427,1.84862,-0.285865,1.38148,0.24,-0.189582,-0.392786,0.158152,2.5039,0.796301,2.46295,0.24,-0.143604,-0.0265609,0.134341,1.92902,2.21509,-2.80639,0,0,-0.651841,0.268107,2.69897,3.00369,2.42968,0.24,-0.140651,0.177315,0.350249
2.10007,0.346368,2.49865,-1.2586,2.66742,0.0483195,-0.189891,-0.0619292,0.0300647,1.84696,-0.278814,1.3711,0.24,-0.172602,-0.387196,0.166913,2.49694,0.800841,2.4609,0.24,-0.134744,-0.0298703,0.14133,1.92877,2.21536,-2.80482,0,0,-0.648048,0.267919,2.69073,3.00734,2.42251,0.24,-0.136084,0.171332,0.356639
2.15006,0.347275,2.49638,-1.26154,2.65134,0.0498992,-0.176238,-0.0579669,0.03106,1.84637,-0.263346,1.35393,0.24,-0.148806,-0.37929,0.1785,2.48386,0.808894,2.45225,0.24,-0.122698,-0.0347869,0.149867,1.929,2.21513,-2.80694,0,0,-0.643938,0.268218,2.67744,3.01451,2.41724,0.24,-0.127744,0.165698,0.364068
2.20012,0.348734,2.49464,-1.26392,2.6382,0.0517683,-0.156945,-0.0538222,0.0324898,1.84626,-0.253493,1.34603,0.24,-0.130122,-0.372551,0.19065,2.47485,0.814528,2.44586,0.24,-0.112202,-0.041098,0.158502,1.92873,2.21528,-2.80535,0,0,-0.640143,0.267988,2.66831,3.01904,2.40768,0.24,-0.121479,0.159868,0.371659
